,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country_name,iso_country,region_name,iso_region,local_region,municipality,gps_code,iata_code,local_code,keywords
149,31643,HTMX,small_airport,Mpwapwa Airport,-6.349999904632568,36.483001708984375,3240.0,Tanzania,TZ,Dodoma Region,TZ-03,3,Mpwapwa,HTMX,,,
150,318585,TZ-0028,small_airport,Msembe Airport,-7.684811,34.922282,2500.0,Tanzania,TZ,Iringa Region,TZ-04,4,Msembe,HTMR,,,
151,318666,TZ-0104,small_airport,Msima 1 Airport,-6.339313,31.849913,3710.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Msima,,,,
152,318667,TZ-0105,small_airport,Msima 2 Airport,-5.839096,31.459827,3600.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Msima,,,,
153,318608,TZ-0047,small_airport,Mtemaupinde Airport,-11.206844,38.162974,,Tanzania,TZ,Mtwara Region,TZ-17,17,Mtemaupinde,,,,
154,318609,TZ-0048,small_airport,Mtemere Airport,-7.750093,38.208474,216.0,Tanzania,TZ,Pwani Region,TZ-19,19,Mtemere,,,,
155,42493,TZ-0001,small_airport,Mtera Airport,-7.097152,35.981575,2399.0,Tanzania,TZ,Dodoma Region,TZ-03,3,Mtera,,,,
156,42483,HTMF,small_airport,Mufindi Airport,-8.732040405273438,35.3026008605957,4175.0,Tanzania,TZ,Iringa Region,TZ-04,4,Mufindi,HTMF,,,
157,318790,TZ-0132,small_airport,Mugumu Airport,-1.870455,34.645517,5172.0,Tanzania,TZ,Mara Region,TZ-13,13,Mugumu,,,,
158,318669,TZ-0107,small_airport,Muhesi Airport,-6.139352,34.464442,4300.0,Tanzania,TZ,Singida Region,TZ-23,23,Muhesi,,,,
159,318610,TZ-0049,small_airport,Muhuba Airport,-5.770289,31.721521,,Tanzania,TZ,Rukwa Region,TZ-20,20,Muhuba,,,,
160,318670,TZ-0108,small_airport,Murungu Airport,-4.185382,31.293522,3300.0,Tanzania,TZ,Xigoma Region,TZ-08,8,Murungu,,,,
161,318668,TZ-0106,small_airport,Mtibwa Airport,-6.148889,37.661551,1234.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Mvomero,,,,
162,300759,TZ-0005,small_airport,Mvumi Airport,-6.376389,35.898611,3445.0,Tanzania,TZ,Dodoma Region,TZ-03,3,Mvumi,HTMV,,,
163,31979,HTMD,small_airport,Mwadui Airport,-3.521332,33.615542,3970.0,Tanzania,TZ,Shinyanga Region,TZ-22,22,Mwadui,HTMD,MWN,,
164,318611,TZ-0050,small_airport,Mwambesi Airport,-11.61227,37.564572,1000.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Mwambesi,,,,Mwambezi
165,32009,HTNA,small_airport,Nachingwea Airport,-10.3575,38.779202,1400.0,Tanzania,TZ,Lindi Region,TZ-12,12,Nachingwea,HTNA,NCH,,
166,318581,TZ-0024,small_airport,Ndutu Airport,-3.030715,34.988468,5353.0,Tanzania,TZ,Arusha Region,TZ-01,1,Ndutu,HTND,,,
167,318672,TZ-0110,small_airport,Ng'Wazi Airport,-8.522635,35.179545,6040.0,Tanzania,TZ,Iringa Region,TZ-04,4,Ng'Wazi,,,,
168,42486,HTNR,small_airport,Ngara Airport,-2.54179,30.7031,5030.0,Tanzania,TZ,Kagera Region,TZ-05,5,Ngara,HTNR,,,
169,318775,HTNG,small_airport,Ngerengere Air Force Base,-6.717083,38.153944,738.0,Tanzania,TZ,Morogoro Region,TZ-16,16,Ngerengere,HTNG,,,
170,318616,TZ-0055,small_airport,Ngorongoro Airport,-3.221398,35.476965,7795.0,Tanzania,TZ,Arusha Region,TZ-01,1,Ngorongoro,,,,
171,31708,HTNJ,small_airport,Njombe Airport,-9.35,34.799999,6400.0,Tanzania,TZ,Iringa Region,TZ-04,4,Njombe,HTNJ,JOM,,
172,318791,TZ-0133,small_airport,Nkinga Airport,-4.425665,33.450677,4000.0,Tanzania,TZ,Tabora Region,TZ-24,24,Nkinga,,,,
173,318792,TZ-0134,small_airport,Nkoname Airport,-6.918093,34.871684,3600.0,Tanzania,TZ,Singida Region,TZ-23,23,Nkoname,,,,
174,318565,TZ-0008,small_airport,Maswa Airstrip,-3.186741,33.792056,4196.0,Tanzania,TZ,Shinyanga Region,TZ-22,22,Nyalikungu,HTMC,,,
175,318797,TZ-0139,small_airport,Mawemeru Airport,-3.111222,32.21536,4000.0,Tanzania,TZ,Geita,TZ-31,31,Nyarugusu,,,,
176,318653,TZ-0091,small_airport,Mashado Airport,-5.470712,38.955266,200.0,Tanzania,TZ,Tanga Region,TZ-25,25,Pangani,,,,
177,318580,TZ-0023,small_airport,Rubondo Airport,-2.30078,31.849455,,Tanzania,TZ,Kagera Region,TZ-05,5,Rubondo Island,,,,
178,318660,TZ-0098,small_airport,Mchukwi Rufiji Airport,-7.772857,39.019695,450.0,Tanzania,TZ,Pwani Region,TZ-19,19,Rufiji,,,,
179,318676,TZ-0114,small_airport,Rungwa River Airport,-7.107139,32.481492,3565.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Rungwa,,,,
180,318612,TZ-0051,small_airport,Rungwa Airport,-6.935716,33.530089,4110.0,Tanzania,TZ,Singida Region,TZ-23,23,Rungwa,,,,
181,318654,TZ-0092,small_airport,Masimba Airport,-7.267927,34.218247,,Tanzania,TZ,Singida Region,TZ-23,23,Rungwa,,,,
182,318613,TZ-0052,small_airport,Saadani Airport,-6.030896,38.770264,,Tanzania,TZ,Pwani Region,TZ-19,19,Saadani,,,,
183,31646,HTSE,small_airport,Same Airport,-4.053634,37.789462,3000.0,Tanzania,TZ,Kilimanjaro Region,TZ-09,9,Same,HTSE,,,
184,308202,HTBB,small_airport,Kibambawe Airstrip,-7.748241,38.001833,485.0,Tanzania,TZ,Pwani Region,TZ-19,19,Selous Game Reserve,HTBB,,,
185,318677,TZ-0115,small_airport,Shama Airport,-6.322146,32.562788,3650.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Shama,,,,
186,318795,TZ-0137,small_airport,Sikonge Airport,-5.627718,32.762082,3600.0,Tanzania,TZ,Tabora Region,TZ-24,24,Sikonge,,,,
187,318671,TZ-0109,small_airport,Naibormut Airport,-4.469807,36.669798,,Tanzania,TZ,Arusha Region,TZ-01,1,Simanjiro,,,,
188,318642,TZ-0081,small_airport,Lolmorijoi Airport,-4.549415,37.024381,3800.0,Tanzania,TZ,Manyara Region,TZ-26,26,Simanjiro,,,,
