,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,keywords
35,31641,HTMO,small_airport,Mombo Airport,-4.899146,38.240289,1350.0,TZ-25,Mombo,HTMO,,
36,31642,HTMP,small_airport,Mpanda Airport,-6.355374,31.084116,3520.0,TZ-20,Mpanda,HTMP,NPY,
37,32194,HTMS,small_airport,Moshi Airport,-3.36333,37.3269,2801.0,TZ-09,Moshi,HTMS,QSI,
38,3256,HTMT,medium_airport,Mtwara Airport,-10.336204,40.181997,371.0,TZ-17,Mtwara,HTMT,MYW,
39,31972,HTMU,small_airport,Musoma Airport,-1.503,33.8021,3806.0,TZ-13,Musoma,HTMU,MUZ,
40,3257,HTMW,medium_airport,Mwanza Airport,-2.4444899559021,32.932701110839844,3763.0,TZ-18,Mwanza,HTMW,MWZ,
41,31643,HTMX,small_airport,Mpwapwa Airport,-6.349999904632568,36.483001708984375,3240.0,TZ-03,Mpwapwa,HTMX,,
42,32009,HTNA,small_airport,Nachingwea Airport,-10.3575,38.779202,1400.0,TZ-12,Nachingwea,HTNA,NCH,
43,318775,HTNG,small_airport,Ngerengere Air Force Base,-6.717083,38.153944,738.0,TZ-16,Ngerengere,HTNG,,
44,31708,HTNJ,small_airport,Njombe Airport,-9.35,34.799999,6400.0,TZ-04,Njombe,HTNJ,JOM,
45,42486,HTNR,small_airport,Ngara Airport,-2.54179,30.7031,5030.0,TZ-05,Ngara,HTNR,,
46,42487,HTOL,small_airport,Oltipesi Airport,-4.287732,36.616115,4668.0,TZ-26,,HTOL,,
47,3258,HTPE,medium_airport,Pemba Airport,-5.25726,39.811401,80.0,TZ-25,Chake Chake,HTPE,PMA,"Chake Chake, Karume, Thabit Kombo Jecha, Wawi"
48,31645,HTSD,small_airport,Singida Airport,-4.810928,34.724762,5000.0,TZ-23,Singida,HTSD,,
49,31646,HTSE,small_airport,Same Airport,-4.053634,37.789462,3000.0,TZ-09,Same,HTSE,,
50,31647,HTSH,small_airport,Mafinga Airport,-8.350000381469727,35.29999923706055,6300.0,TZ-04,Mafinga,HTSH,,
51,32283,HTSN,small_airport,Seronera Airport,-2.45806,34.822498,5080.0,TZ-13,Seronera,HTSN,SEU,
52,32293,HTSO,small_airport,Songea Airport,-10.683,35.583,3445.0,TZ-21,Songea,HTSO,SGX,
53,32392,HTSU,small_airport,Sumbawanga Airport,-7.948889,31.610278,5960.0,TZ-20,Sumbawanga,HTSU,SUT,
54,32297,HTSY,small_airport,Shinyanga Airport,-3.6093,33.5035,3800.0,TZ-22,Shinyanga,HTSY,SHY,
55,32426,HTTB,small_airport,Tabora Airport,-5.07639,32.833302,3868.0,TZ-24,Tabora,HTTB,TBO,
56,3259,HTTG,medium_airport,Tanga Airport,-5.09236,39.071201,129.0,TZ-25,Tanga,HTTG,TGT,
57,31648,HTTU,small_airport,Tunduru Airport,-11.100000381469728,37.367000579833984,2200.0,TZ-21,Tunduru,HTTU,,
58,42488,HTUK,small_airport,Nansio Airport,-2.043529987335205,33.06439971923828,4010.0,TZ-13,Ukerewe,HTUK,,
59,31649,HTUR,small_airport,Urambo Airport,-5.075635,32.079868,3600.0,TZ-24,Urambo,HTUR,,
60,42489,HTUT,small_airport,Utete Airport,-7.999667,38.760234,208.0,TZ-19,Utete,HTUT,,
61,42490,HTUV,small_airport,Uvinza Airport,-5.090771,30.406772,563.0,TZ-08,Uvinza,HTUV,,
62,31650,HTWK,small_airport,West Kilimanjaro Airport,-3.05,37.0,4300.0,TZ-09,West Kilimanjaro,HTWK,,
63,3260,HTZA,large_airport,Abeid Amani Karume International Airport,-6.22202,39.224899,54.0,TZ-07,Zanzibar,HTZA,ZNZ,"HTAK, Zanzibar Airport, Kiembi Samaki"
64,336952,KBH,small_airport,Kahama Airstrip,-3.847,32.6865,,TZ-22,Kahama,,KBH,
65,42493,TZ-0001,small_airport,Mtera Airport,-7.097152,35.981575,2399.0,TZ-03,Mtera,,,
66,42494,TZ-0002,small_airport,Manyoni North Airport,-5.72119,34.838487,4080.0,TZ-23,Manyoni,,,
67,42495,TZ-0003,small_airport,Mbinga Airport,-10.96399974822998,35.01179885864258,4335.0,TZ-21,Mbinga,,,
68,42496,TZ-0004,small_airport,Tura Airport,-5.4892401695251465,33.87820053100586,4216.0,TZ-24,Tura,,,
69,300759,TZ-0005,small_airport,Mvumi Airport,-6.376389,35.898611,3445.0,TZ-03,Mvumi,HTMV,,
70,300760,TZ-0006,small_airport,Kasulu Airport,-4.549167,30.102222,4175.0,TZ-08,Kasulu,HTKU,,
71,318563,TZ-0007,small_airport,Tulawaka Gold Mine Airstrip,-3.210604,31.546516,3944.0,TZ-05,Uyovu,,,
72,318565,TZ-0008,small_airport,Maswa Airstrip,-3.186741,33.792056,4196.0,TZ-22,Nyalikungu,HTMC,,
73,318566,TZ-0009,small_airport,Biharamulo Airport,-2.663273,31.36515,4723.0,TZ-05,Biharamulo,HTBH,,
74,318567,TZ-0010,small_airport,Manyoni Airport,-5.758501,34.799656,4084.0,TZ-23,Manyoni,HTMN,,
75,318568,TZ-0011,small_airport,Liwale Airport,-9.796886,37.870732,,TZ-12,Liwale,,,
76,318569,TZ-0012,small_airport,Ifakara Airport,-8.064876,36.698112,,TZ-16,Ifakara,,,
77,318570,TZ-0013,small_airport,Mkwaja Airport,-5.719283,38.828465,,TZ-05,Mkwaja,,,
78,318571,TZ-0014,small_airport,Mbamba Bay Airport,-11.303451,34.842717,,TZ-21,Mbamba Bay,,,
79,318572,TZ-0015,small_airport,Iku Airport,-6.908626,31.166407,,TZ-20,Iku,,,
80,318573,TZ-0016,small_airport,Sasakwa Airport,-2.073124,34.510235,4301.0,TZ-13,,,,
81,318574,TZ-0017,small_airport,Jongomeru Airport,-7.894934,34.580821,3000.0,TZ-14,Jongomeru,,,
82,318575,TZ-0018,small_airport,Kogatende Airstrip,-1.568396,34.886933,,TZ-13,Kogatende,,,
83,318576,TZ-0019,closed,Limai Airport,-2.269407,34.023569,,TZ-22,,,,
84,318577,TZ-0020,small_airport,Lobo Airstrip,-2.009865,35.159105,5500.0,TZ-13,Lobo,,,
85,318578,TZ-0021,small_airport,Mpululu Airport,-7.042659,34.724101,,TZ-04,Mpululu,,,
86,318579,TZ-0022,small_airport,Tarangire 2 Airport,-3.761121,36.027171,,TZ-01,Tarangire,,,
87,318580,TZ-0023,small_airport,Rubondo Airport,-2.30078,31.849455,,TZ-05,Rubondo Island,,,
